mature read count	mature miRBase miRNA
3	hsa-miR-6501-5p_MIMAT0025458_Homo_sapiens_miR-6501-5p
69	hsa-miR-5010-3p_MIMAT0021044_Homo_sapiens_miR-5010-3p
4	hsa-miR-4677-5p_MIMAT0019760_Homo_sapiens_miR-4677-5p
101	hsa-miR-3605-5p_MIMAT0017981_Homo_sapiens_miR-3605-5p
2	hsa-miR-497-5p_MIMAT0002820_Homo_sapiens_miR-497-5p
1	hsa-miR-4773_MIMAT0019928_Homo_sapiens_miR-4773
2	hsa-miR-4661-5p_MIMAT0019729_Homo_sapiens_miR-4661-5p
3	hsa-miR-323b-5p_MIMAT0001630_Homo_sapiens_miR-323b-5p
2	hsa-miR-3127-5p_MIMAT0014990_Homo_sapiens_miR-3127-5p
24	hsa-miR-6842-3p_MIMAT0027587_Homo_sapiens_miR-6842-3p
1	hsa-miR-3150b-5p_MIMAT0019226_Homo_sapiens_miR-3150b-5p
4	hsa-miR-618_MIMAT0003287_Homo_sapiens_miR-618
1	hsa-miR-500a-5p_MIMAT0004773_Homo_sapiens_miR-500a-5p
4	hsa-miR-3922-3p_MIMAT0018197_Homo_sapiens_miR-3922-3p
2	hsa-miR-6769b-5p_MIMAT0027620_Homo_sapiens_miR-6769b-5p
1	hsa-miR-4773_MIMAT0019928_Homo_sapiens_miR-4773
3	hsa-miR-4775_MIMAT0019931_Homo_sapiens_miR-4775
3	hsa-miR-365b-5p_MIMAT0022833_Homo_sapiens_miR-365b-5p
1	hsa-miR-4672_MIMAT0019754_Homo_sapiens_miR-4672
2	hsa-miR-491-5p_MIMAT0002807_Homo_sapiens_miR-491-5p
2	hsa-miR-152-5p_MIMAT0026479_Homo_sapiens_miR-152-5p
1	hsa-miR-548ac_MIMAT0018938_Homo_sapiens_miR-548ac
2	hsa-miR-3909_MIMAT0018183_Homo_sapiens_miR-3909
1	hsa-miR-1908-5p_MIMAT0007881_Homo_sapiens_miR-1908-5p
2	hsa-miR-3177-5p_MIMAT0019215_Homo_sapiens_miR-3177-5p
2	hsa-miR-153-3p_MIMAT0000439_Homo_sapiens_miR-153-3p
2	hsa-miR-6879-5p_MIMAT0027658_Homo_sapiens_miR-6879-5p
1	hsa-miR-4755-5p_MIMAT0019895_Homo_sapiens_miR-4755-5p
2	hsa-miR-4512_MIMAT0019049_Homo_sapiens_miR-4512
